drug_name,generic_name,manufacturer,ticker,indication
Opsumit,macitentan,Actelion/J&J,JNJ,Pulmonary arterial hypertension
Adcirca,tadalafil,United Therapeutics,UTHR,Pulmonary arterial hypertension
Tyvaso,treprostinil,United Therapeutics,UTHR,Pulmonary arterial hypertension
Letairis,ambrisentan,Gilead,GILD,Pulmonary arterial hypertension
Tracleer,bosentan,Actelion/J&J,JNJ,Pulmonary arterial hypertension
Uptravi,selexipag,Janssen/J&J,JNJ,Pulmonary arterial hypertension
Remodulin,treprostinil,United Therapeutics,UTHR,Pulmonary arterial hypertension
Orenitram,treprostinil,United Therapeutics,UTHR,Pulmonary arterial hypertension
Veletri,epoprostenol,Actelion/J&J,JNJ,Pulmonary arterial hypertension
Ventavis,iloprost,Actelion/J&J,JNJ,Pulmonary arterial hypertension
Tyvaso DPI,treprostinil,United Therapeutics,UTHR,Pulmonary arterial hypertension and PH-ILD
Nebulized Tyvaso,treprostinil,United Therapeutics,UTHR,Pulmonary arterial hypertension and PH-ILD
Winrevair,sotatercept-csrk,Merck,MRK,Pulmonary arterial hypertension
Adempas,riociguat,Bayer/Merck,MRK,Pulmonary arterial hypertension and CTEPH
Yutrepia,treprostinil,Liquidia,LQDA,Pulmonary arterial hypertension and PH-ILD
Revatio,sildenafil,Pfizer,PFE,Pulmonary arterial hypertension
Flolan,epoprostenol,GSK,GSK,Pulmonary arterial hypertension
Alyq,tadalafil,Teva,TEVA,Pulmonary arterial hypertension
Tadliq,tadalafil,CMP Pharma,,Pulmonary arterial hypertension
Liqrev,sildenafil,CMP Pharma,,Pulmonary arterial hypertension
